ResourceType     Locations    Name                      Zones    Restrictions
---------------  -----------  ------------------------  -------  ------------------------------------------------------------------------
virtualMachines  eastus       Standard_D128ds_v7        1,2,3    None
virtualMachines  eastus       Standard_D128lds_v7       1,2,3    None
virtualMachines  eastus       Standard_D128ls_v7        1,2,3    None
virtualMachines  eastus       Standard_D128s_v7         1,2,3    None
virtualMachines  eastus       Standard_D16ds_v7         1,2,3    None
virtualMachines  eastus       Standard_D16lds_v7        1,2,3    None
virtualMachines  eastus       Standard_D16ls_v7         1,2,3    None
virtualMachines  eastus       Standard_D16s_v7          1,2,3    None
virtualMachines  eastus       Standard_D192ds_v7        1,2,3    None
virtualMachines  eastus       Standard_D192lds_v7       1,2,3    None
virtualMachines  eastus       Standard_D192ls_v7        1,2,3    None
virtualMachines  eastus       Standard_D192s_v7         1,2,3    None
virtualMachines  eastus       Standard_D2ds_v7          1,2,3    None
virtualMachines  eastus       Standard_D2lds_v7         1,2,3    None
virtualMachines  eastus       Standard_D2ls_v7          1,2,3    None
virtualMachines  eastus       Standard_D2s_v7           1,2,3    None
virtualMachines  eastus       Standard_D32ds_v7         1,2,3    None
virtualMachines  eastus       Standard_D32lds_v7        1,2,3    None
virtualMachines  eastus       Standard_D32ls_v7         1,2,3    None
virtualMachines  eastus       Standard_D32s_v7          1,2,3    None
virtualMachines  eastus       Standard_D48ds_v7         1,2,3    None
virtualMachines  eastus       Standard_D48lds_v7        1,2,3    None
virtualMachines  eastus       Standard_D48ls_v7         1,2,3    None
virtualMachines  eastus       Standard_D48s_v7          1,2,3    None
virtualMachines  eastus       Standard_D4ds_v7          1,2,3    None
virtualMachines  eastus       Standard_D4lds_v7         1,2,3    None
virtualMachines  eastus       Standard_D4ls_v7          1,2,3    None
virtualMachines  eastus       Standard_D4s_v7           1,2,3    None
virtualMachines  eastus       Standard_D64ds_v7         1,2,3    None
virtualMachines  eastus       Standard_D64lds_v7        1,2,3    None
virtualMachines  eastus       Standard_D64ls_v7         1,2,3    None
virtualMachines  eastus       Standard_D64s_v7          1,2,3    None
virtualMachines  eastus       Standard_D8ds_v7          1,2,3    None
virtualMachines  eastus       Standard_D8lds_v7         1,2,3    None
